CaseID,tm_start,tm_finish,duration,QFLAG,weight,xacslang,xspanish,xvaccine,xideo,xparty7,urb_sub_rur,DeviceType,Browser,Q1,Q3,DOVQ4Order,Q4,Q5,Q7,DOVQ7aOrder,Q7a,Q7Text,DOVQ7bOrder,Q7ba,Q7bb,Q7bc,Q7bd,Q7be,Q7bf,Q7c,Q7z,Q8a,Q8b,Q8c,Q8d,Q8e,Q9,Q9a,DOVQ11Order,Q11,Q12,DOVQ13Order,Q13,Q14,Q20,us_born,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,ppreg4,ppreg9,pprent,ppstaten,ppt01,ppt25,ppt612,ppt1317,ppt18ov,ppwork,fips,ppp20071,TQ1,TQ3,TQ4,TQ5,TQ7,TQ7a,TQ7b,TQ7c,TQ7z,TQ8,TQ9,TQ9a,TQ11,TQ12,TQ13,TQ14,TQ20,speeder,refusers
19,2/26/2021 19:15:04,2/26/2021 19:22:27,443,1,.2834,5,1,2,2,7,2,10,Edge,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,3,1,2,2,2,4,2,3,88,2,1,1,1,2,2,1,3,55,5,3,14,4,2,2,1,4,1,20,1,1,3,5,1,52,0,0,0,0,4,1,24025,1,7,24, ,24,21, , ,29,17,39,47, ,12,66,14,66,56,0,0
20,2/26/2021 19:15:32,2/26/2021 19:18:20,168,1,1.4831,5,1,1,4,3,3,3,Safari iPhone,2,1, ,88,2,3,"_1,_3,_5,_4,_2,_6,refused",3, ,"e,c,d,f,b,a",1,1,1,1,1,1,88,1,1,1,1,1,88,2,88,2,1,1,1,1,1,1,3,42,3,2,12,4,1,1,1,6,1,17,1,1,3,7,1,74,0,0,1,3,2,1,48397,2,80,2, ,3,3,5,13, ,4,8,8, ,5,5,6,5,7,0,0
21,2/26/2021 19:14:56,2/26/2021 19:17:21,145,1,.2639,2,2,3,5,5,1,10,Chrome,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,1,1,1,1,1,2,88,2,1,2,2,1,88,1,2,50,4,3,13,4,4,2,1,5,1,16,1,1,3,7,1,74,0,0,0,1,4,1,48141,2,7, , , , , , , , ,27,10, ,8,7,11, ,15,0,0
22,2/26/2021 19:15:13,2/26/2021 19:21:27,374,1,1.3444,5,1,1,6,1,3,8,Safari,2,2, ,88,1,1, ,88, , ,88,88,88,88,88,88,3,2,2,2,2,3,88,3,88,1,3,1,2,1,1,1,3,71,6,4,12,4,1,1,1,2,1,13,3,1,1,2,1,21,0,0,0,0,2,2,36055,2,39,7, ,7,17, , ,15,20,98,13, ,17,27,19,15,28,0,0
23,2/26/2021 19:15:39,2/26/2021 19:18:00,141,1,1.4085,5,1,1,2,6,1,4,Safari,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,1,7,1,1,1,3,88,2,88,1,1,1,1,1,2,1,3,41,3,2,12,4,1,1,1,4,1,17,1,1,2,4,1,47,0,0,2,0,2,2,20091,88,10,3, ,8,7, , ,16,8,20,7, ,9,5,10,9,6,0,0
24,2/26/2021 19:15:42,2/26/2021 19:18:22,160,1,1.3388,5,1,1,3,5,3,10,Edge,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,3,2,1,1,2,3,88,2,88,1,1,2,1,1,2,1,3,51,4,3,13,4,1,2,1,4,1,19,1,1,4,9,1,93,0,0,0,1,3,1,6073,2,9,3, ,6,6, , ,16,12,26,6, ,6,23,11,8,6,0,0
25,2/26/2021 19:15:38,2/26/2021 19:17:46,128,1,1.3728,5,1,1,6,1,3,10,Chrome,2,5, ,88,1,88, ,88, , ,88,88,88,88,88,88,88,88,5,5,5,2,88,3,88,1,2,5,2,2,1,1,3,78,7,4,9,2,1,2,1,2,1,14,2,1,1,2,1,23,0,0,0,0,2,5,42003,2,6,5, ,5, , , , , ,20,7, ,8,6,9,8,20,0,0
26,2/26/2021 19:15:55,2/26/2021 19:19:00,185,1,1.0445,5,1,1,6,1,3,7,Chrome,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,1,7,2,2,2,2,88,5,3,1,3,2,2,1,2,1,3,71,6,4,12,4,1,1,1,1,3,16,1,1,1,2,2,23,0,0,0,0,1,2,42003,2,9,7, ,11,6, , ,18,11,29,8,9,12,9,13,11,8,0,0
27,2/26/2021 19:14:59,2/26/2021 19:18:22,203,1,.3268,5,1,2,4,7,3,10,Chrome,2,3,1,2,3,4,"_1,_4,_3,_5,_2,_6,refused",3, ,"f,a,d,b,e,c",1,1,1,1,1,1,88,7,1,1,1,5,2,4,88,1,1,3,2,1,3,1,3,43,3,2,11,3,2,2,1,3,3,5,1,1,3,5,2,59,0,0,0,0,3,7,12053,88,6,3,5,3,3,6,16, ,11,12,6, ,4,25,3,4,4,0,0
28,2/26/2021 19:15:56,2/26/2021 19:19:26,210,1,.1765,5,1,2,4,5,3,3,Safari iPhone,2,2, ,88,2,1, ,88, , ,88,88,88,88,88,88,1,1,3,3,2,4,3,2,88,2,1,2,2,2,2,1,3,62,5,4,13,4,2,1,1,4,1,16,3,1,3,5,1,51,0,0,0,0,4,1,10001,88,15,8, ,10,9, , ,12,14,27,9, ,14,11,19,12,9,0,0
30,2/26/2021 19:16:14,2/26/2021 19:18:23,129,1,.1013,5,1,2,4,5,3,10,Edge,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,2,2,2,4,2,3,88,1,1,2,1,1,88,1,3,69,6,4,12,4,2,1,1,1,1,13,3,1,3,6,1,62,0,0,0,0,1,5,47157,1,10, , , , , , , , ,38,10, ,9,12,14, ,6,0,0
31,2/26/2021 19:16:37,2/26/2021 19:18:59,142,1,1.3337,5,1,1,5,7,3,3,Safari iPhone,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,1,1,1,2,88,1,88,2,3,1,1,1,88,1,3,68,6,4,9,2,1,2,1,2,1,9,1,1,1,2,1,23,0,0,0,0,2,5,42003,2,7, , , , , , , , ,27,10, ,15,8,42, ,8,0,0
32,2/26/2021 19:16:37,2/26/2021 19:18:12,95,1,.2277,2,1,3,4,5,3,10,Firefox,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,1,1,1,2,1,2,88,1,1,2,2,1,88,1,1,56,5,3,12,4,4,1,1,3,1,16,1,1,3,7,1,74,0,0,0,0,3,5,48061,2,7, , , , , , , , ,21,7, ,11,9,11, ,5,0,0
33,2/26/2021 19:16:41,2/26/2021 19:26:33,592,1,.8029,5,1,1,3,7,3,3,Safari iPhone,2,5, ,88,2,88, ,88, , ,88,88,88,88,88,88,88,88,4,4,4,3,3,4,88,2,2,4,1,2,1,1,3,56,5,3,9,2,2,2,1,2,1,14,5,1,3,5,1,51,0,0,0,0,2,1,10001,1,25,9, ,21, , , , , ,244,20, ,20,19,110,74,17,0,0
35,2/26/2021 19:17:02,2/26/2021 19:19:07,125,1,.1957,2,1,1,4,6,3,8,Safari,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,1,1,2,2,2,2,88,1,1,1,1,1,88,1,1,68,6,4,11,3,4,1,1,3,1,16,1,1,4,9,1,93,0,0,0,0,3,5,6037,1,10, , , , , , , , ,37,12, ,11,10,13, ,5,0,0
36,2/26/2021 19:17:13,2/26/2021 19:19:37,144,1,.526,2,1,3,1,7,1,3,Safari iPhone,2,3,2,2,2,2,"_4,_2,_5,_3,_1,_6,refused",3, ,"c,a,b,f,e,d",1,1,3,1,1,2,88,5,2,2,1,1,1,2,88,1,1,3,2,2,1,1,1,25,2,1,9,2,4,2,0,3,1,4,1,1,4,9,2,93,0,0,0,1,2,1,6037,2,6,4,5,4,5,9,23, ,10,22,5, ,4,7,12,6,4,0,0
38,2/26/2021 19:15:25,2/26/2021 19:22:44,439,1,.1362,5,1,2,4,4,3,10,Edge,2,3,1,1,2,4,"_4,_5,_2,_1,_3,_6,refused",2, ,"f,c,a,b,d,e",3,3,4,1,2,3,88,1,4,4,4,5,5,2,88,2,3,3,2,2,2,6,3,54,4,3,13,4,2,2,1,2,1,13,2,1,3,5,1,58,0,0,0,1,1,1,13151,1,12,3,4,9,6,4,23, ,159,25,8, ,7,7,7,11,21,0,0
39,2/26/2021 19:17:46,2/26/2021 19:19:43,117,1,1.6982,5,1,1,6,3,3,3,Safari iPhone,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,4,5,2,2,2,3,88,3,88,1,3,1,2,1,2,1,3,58,5,3,12,4,1,2,1,3,1,16,5,1,1,2,1,21,0,0,0,0,3,1,36119,2,11,3, ,4,6, , ,13,7,17,7, ,7,4,6,9,6,0,0
40,2/26/2021 19:17:29,2/26/2021 19:22:40,311,1,.2822,5,1,2,4,7,3,3,Safari iPhone,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,4,7,2,2,2,3,2,1,88,2,1,1,1,1,3,1,3,59,5,3,13,4,2,1,1,2,1,19,1,1,3,6,1,62,0,0,0,0,2,1,47157,1,13,9, ,23,11, , ,44,21,52,10, ,20,20,17,18,14,0,0
41,2/26/2021 19:17:37,2/26/2021 19:22:06,269,1,1.5225,5,1,1,4,2,2,8,Chrome,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,3,2,2,2,2,3,88,5,3,1,2,3,1,2,2,1,3,58,5,3,5,1,1,2,0,7,1,17,1,1,2,3,1,34,0,0,2,0,5,2,26161,2,9,10, ,11,18, , ,14,13,38,15,11,19,23,21,13,7,0,0
42,2/26/2021 19:17:49,2/26/2021 19:21:35,226,1,1.1048,5,1,2,2,5,1,3,Safari iPhone,2,2, ,88,3,3,"_5,_2,_3,_1,_4,_6,refused",2, ,"d,b,e,c,f,a",4,4,4,2,2,2,88,2,3,3,3,3,4,2,88,2,3,4,1,2,2,1,3,30,2,2,4,1,2,2,1,3,3,7,1,1,2,4,2,47,0,0,0,1,2,4,20045,88,5,9, ,6,10,24,42, ,17,34,4, ,7,15,20,7,6,0,0
43,2/26/2021 19:17:44,2/26/2021 19:21:04,200,1,.1765,5,1,2,4,6,3,10,Edge,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,2,2,2,4,2,2,88,1,1,2,1,1,88,1,3,81,7,4,12,4,2,1,1,4,1,17,2,1,3,5,1,52,0,0,0,2,2,5,24033,1,13, , , , , , , , ,34,23, ,17,15,39, ,22,0,0
44,2/26/2021 19:15:22,2/26/2021 19:20:31,309,1,.3858,1,1,1,2,5,3,10,Chrome,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,3,7,1,1,1,4,2,3,88,2,1,2,1,1,2,1,1,29,2,1,13,4,4,1,0,3,1,16,1,1,1,2,2,22,0,0,0,0,3,1,34039,2,42,3, ,3,5, , ,13,4,19,6, ,4,4,6,5,4,0,0
45,2/26/2021 19:18:18,2/26/2021 19:22:20,242,1,.0857,5,1,2,6,1,3,10,Chrome,2,3,2,2,1,3,"_4,_1,_2,_3,_5,_6,refused",3, ,"d,c,f,a,b,e",3,3,4,1,1,2,88,3,2,4,4,2,4,3,88,1,3,4,1,2,3,1,3,60,5,4,12,4,2,1,1,2,1,13,1,0,2,3,1,32,0,0,0,0,2,1,18085,1,9,5,4,5,6,15,43, ,33,40,9, ,9,11,11,14,5,0,0
46,2/26/2021 19:18:19,3/1/2021 16:15:31,248232,1,.2356,2,1,3,1,7,3,3,Safari iPhone,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,1,1,1,1,1,4,88,1,1,2,1,1,88,1,2,48,4,3,12,4,4,1,0,2,1,16,1,1,3,5,1,59,0,0,0,0,2,1,12099,88,17, , , , , , , , ,24,19, ,5,11,7497, ,5,0,0
47,2/26/2021 19:18:28,2/26/2021 19:20:43,135,1,.2687,5,1,2,2,7,3,3,Safari iPhone,2,5, ,88,2,88, ,88, , ,88,88,88,88,88,88,88,88,3,4,3,3,5,5,2,1,3,3,1,2,2,6,3,36,3,2,14,4,2,2,1,1,3,12,5,1,3,5,2,58,0,0,0,0,1,1,13089,2,7,5, ,8, , , , , ,26,11,5,9,14,9,8,11,0,0
48,2/26/2021 19:13:54,2/26/2021 19:20:23,389,1,.229,1,1,3,2,7,1,4,Chrome,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,1,7,1,1,1,3,2,2,88,1,1,1,1,1,2,1,1,28,2,1,12,4,4,2,1,2,2,13,1,1,4,9,2,93,0,0,0,0,2,2,6073,2,23,3, ,4,2, , ,5,7,14,4, ,2,4,3,3,2,0,0
49,2/26/2021 19:18:51,2/28/2021 18:55:40,171409,1,2.7727,5,1,1,6,1,1,8,Chrome,2,5, ,88,2,88, ,88, , ,88,88,88,88,88,88,88,88,4,5,4,4,88,4,88,1,3,3,1,2,4,1,3,36,3,2,10,3,1,1,1,1,1,11,5,1,4,9,1,91,0,0,0,0,1,4,53033,2,9,8, ,7, , , , , ,46,83, ,77,15,11,20,9,0,0
50,2/26/2021 19:19:04,2/26/2021 19:20:21,77,1,1.3491,5,1,1,4,3,3,10,Chrome,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,2,1,1,3,88,2,88,2,1,1,1,1,88,1,3,44,3,2,13,4,1,1,1,4,1,18,1,1,2,3,1,31,0,1,1,0,2,1,39061,88,5, , , , , , , , ,17,7, ,5,8,9, ,5,0,0
51,2/26/2021 19:19:15,2/26/2021 19:23:07,232,1,2.0628,5,1,1,6,3,2,3,Safari iPhone,2,3,1,2,2,3,"_2,_4,_5,_1,_3,_6,refused",1, ,"e,b,c,f,d,a",2,2,3,1,2,2,88,1,4,4,4,5,88,2,88,1,3,3,1,2,2,1,3,66,6,4,9,2,1,2,0,2,1,10,3,0,3,6,1,62,0,0,0,0,2,5,47069,2,12,6,6,8,7,14,56, ,8,25,7, ,9,9,17,10,6,0,0
52,2/26/2021 19:19:34,2/26/2021 19:22:22,168,1,.2369,5,1,2,4,6,1,4,Safari,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,3,2,2,2,2,5,3,2,88,2,1,2,2,1,1,1,3,62,5,4,13,4,2,2,1,2,2,21,1,1,3,5,1,52,0,0,0,0,2,7,24510,1,7,5, ,8,5, , ,23,9,39,15, ,7,6,10,9,6,0,0
53,2/26/2021 19:19:29,2/26/2021 19:22:40,191,1,.426,1,1,3,6,1,1,3,Safari iPhone,2,2, ,88,2,1, ,88, , ,88,88,88,88,88,88,1,2,1,2,2,2,2,3,88,2,3,2,2,1,3,1,2,41,3,2,14,4,4,1,1,3,3,21,1,1,1,2,2,21,1,1,0,0,1,1,36061,2,4,6, ,5,11, , ,15,9,42,8, ,9,11,18,7,7,0,0
54,2/26/2021 19:19:27,2/26/2021 19:22:12,165,1,1.2455,2,2,3,1,7,1,8,Chrome,2,2, ,88,2,1, ,88, , ,88,88,88,88,88,88,3,2,2,3,2,2,2,2,88,2,1,2,2,99,2,1,2,42,3,2,8,1,4,1,1,2,3,9,5,1,4,9,2,93,0,0,0,0,2,1,6107,2,8,7, ,9,11, , ,13,6,22,6, ,7,8,12,9,8,0,0
55,2/26/2021 19:20:01,2/26/2021 19:21:34,93,1,.6629,5,1,1,4,5,1,8,Chrome,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,2,2,2,3,88,2,88,2,1,1,2,1,88,1,3,62,5,4,14,4,5,2,1,1,1,20,1,1,4,9,1,93,0,0,0,0,1,1,6037,88,10, , , , , , , , ,16,9, ,7,9,8, ,6,0,0
56,2/26/2021 19:19:47,2/26/2021 19:26:47,420,1,1.3931,5,1,1,6,1,3,4,Safari,2,4, ,88,1,3,"_3,_5,_4,_1,_2,_6,refused",6,I’m not a guinea pig. Very skeptical.,"a,d,c,e,f,b",4,3,4,4,3,3,88,1,4,4,4,5,88,3,88,2,3,1,2,2,3,1,3,73,6,4,10,3,1,2,1,1,1,12,4,1,2,4,1,47,0,0,0,0,1,5,20177,88,9,7, ,11,13,87,93, ,19,45,20, ,13,25,19,12,8,0,0
57,2/26/2021 19:20:18,2/26/2021 19:30:33,615,1,1.4085,5,1,1,3,5,3,10,Firefox,2,2, ,88,2,1, ,88, , ,88,88,88,88,88,88,2,5,2,2,2,2,88,2,88,2,3,2,2,1,3,4,3,39,3,2,12,4,1,1,1,4,1,16,1,1,2,4,1,43,0,0,2,0,2,1,29047,2,18,4, ,4,5, , ,7,9,499,4, ,5,20,5,5,12,0,0
58,2/26/2021 19:18:43,2/26/2021 19:22:17,214,1,1.5687,5,1,1,4,5,1,10,Chrome,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,2,2,2,2,88,1,88,2,1,1,2,1,88,1,3,50,4,3,10,3,1,1,0,2,1,15,3,1,3,7,1,74,0,0,0,0,2,1,48121,1,9, , , , , , , , ,25,10, ,7,8,26, ,5,0,0
59,2/26/2021 19:19:55,2/26/2021 19:24:09,254,1,.3729,2,1,3,4,7,1,7,Chrome,2,1, ,88,2,3,"_3,_1,_2,_4,_5,_6,refused",3, ,"d,f,e,a,c,b",1,3,2,1,2,1,88,1,2,2,2,3,2,1,88,1,1,2,1,1,2,1,1,39,3,2,11,3,4,1,0,3,1,15,1,1,4,8,1,86,0,1,0,0,2,4,4019,1,11,8, ,7,10,7,36, ,12,28,11, ,24,8,12,13,5,0,0
60,2/26/2021 19:20:26,2/26/2021 19:22:44,138,1,.1964,2,1,3,2,7,3,8,Chrome,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,1,1,1,1,3,2,88,1,1,1,2,1,88,1,1,55,5,3,10,3,4,2,1,2,3,8,1,1,3,7,2,74,0,0,0,0,2,1,48157,2,9, , , , , , , , ,58,8, ,11,6,10, ,7,0,0
61,2/26/2021 19:19:56,2/26/2021 19:25:33,337,1,.3149,5,1,1,4,5,3,8,Safari,2,4, ,88,1,99, ,88, , ,88,88,88,88,88,88,88,4,3,2,3,2,3,4,88,2,3,3,2,2,2,1,3,70,6,4,9,2,2,1,1,2,3,7,3,1,1,2,2,22,1,0,0,0,1,5,34025,2,9,8, ,11,12, , , ,27,62,30, ,18,15,19,15,16,0,0
62,2/26/2021 19:20:34,2/26/2021 19:25:47,313,1,1.3413,3,2,1,2,2,1,8,Safari,2,1, ,88,1,1, ,88, , ,88,88,88,88,88,88,4,7,2,2,2,1,3,1,88,1,99,2,1,1,3,1,2,55,5,3,4,1,4,2,1,3,1,14,1,1,4,9,1,93,0,0,0,0,3,1,6037,1,10,12, ,12,15, , ,28,28,75,12, ,3,12,32,15,15,0,0
63,2/26/2021 19:21:03,2/26/2021 19:24:46,223,1,2.2005,5,1,2,3,6,1,3,Chrome iPhone,2,2, ,88,2,3,"_3,_2,_4,_1,_5,_6,refused",1, ,"a,e,c,b,d,f",2,3,2,1,1,3,88,1,2,2,2,3,3,2,88,1,3,3,2,2,2,1,3,24,1,1,11,3,2,1,0,3,3,13,5,1,1,2,3,21,0,0,0,0,3,1,36005,1,5,2, ,6,8,41,19, ,8,21,53, ,5,6,13,5,12,0,0
64,2/26/2021 19:20:55,2/26/2021 19:23:14,139,1,.3839,2,1,1,7,1,1,10,Chrome,2,1, ,88,1,1, ,88, , ,88,88,88,88,88,88,3,5,2,2,2,2,2,1,88,1,1,2,1,1,2,1,2,68,6,4,4,1,4,1,1,2,1,12,1,1,4,8,1,88,0,0,0,0,2,1,32031,1,14,3, ,9,7, , ,12,10,18,8, ,6,8,4,8,7,0,0
65,2/26/2021 19:20:58,2/26/2021 19:25:40,282,1,1.6061,5,1,1,6,3,3,10,Chrome,2,4, ,88,3,4,"_1,_2,_3,_5,_4,_6,refused",6,"if they can't test properly, how can they vaccinate effectively????","f,d,b,c,a,e",2,3,4,2,2,4,88,1,4,4,4,4,88,4,88,1,3,5,2,2,3,1,3,45,4,3,9,2,1,1,1,2,1,15,6,1,2,3,1,33,0,0,0,0,2,1,17111,1,6,6, ,5,6,54,40, ,31,33,9, ,5,23,18,12,8,0,0
66,2/26/2021 19:21:03,2/26/2021 19:22:37,94,1,1.0384,5,1,1,6,2,2,10,Chrome,2,1, ,88,1,1, ,88, , ,88,88,88,88,88,88,4,7,1,1,1,3,88,2,88,1,1,2,1,1,1,1,3,50,4,3,13,4,1,1,1,4,1,20,1,1,1,2,1,21,0,0,0,1,3,1,36111,88,12,2, ,3,4, , ,7,8,12,3, ,4,4,4,5,3,0,0
67,2/26/2021 19:21:23,2/26/2021 19:22:58,95,1,1.5818,5,1,1,4,7,3,8,Chrome,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,2,2,2,4,88,2,88,1,1,3,2,1,88,1,3,74,6,4,10,3,1,2,0,4,1,17,2,1,3,7,1,74,0,0,1,0,3,5,48085,2,8, , , , , , , , ,20,7, ,8,8,9, ,7,0,0
69,2/26/2021 19:21:38,2/26/2021 19:23:29,111,1,1.4085,5,1,1,4,5,3,3,Safari iPhone,2,1, ,88,2,2,"_1,_4,_3,_5,_2,_6,refused",5, ,"f,d,c,a,e,b",2,4,3,1,3,1,88,2,1,1,1,2,88,3,88,2,1,2,1,1,2,1,3,37,3,2,14,4,1,1,1,4,1,16,1,1,2,3,1,33,0,0,2,0,2,1,17113,2,6,2, ,3,7,6,23, ,6,12,5, ,4,6,6,5,4,0,0
70,2/26/2021 19:21:48,2/26/2021 19:26:12,264,1,.101,5,1,2,2,7,3,3,Safari iPhone,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,1,7,2,2,2,2,3,2,88,2,1,1,2,1,2,1,3,64,5,4,12,4,2,1,1,2,3,10,1,1,2,4,2,41,0,0,0,0,2,2,27139,88,9,7, ,12,10, , ,18,17,56,12, ,16,14,17,12,9,0,0
71,2/26/2021 19:21:54,2/26/2021 19:25:48,234,1,.4649,1,2,3,3,5,1,3,Safari iPhone,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,1,7,1,1,1,1,1,1,88,1,1,1,1,1,2,4,2,61,5,4,8,1,4,1,1,3,1,12,1,1,3,5,1,56,0,0,0,0,3,1,37067,88,9,8, ,11,9, , ,23,22,34,11, ,9,12,15,11,25,0,0
72,2/26/2021 19:22:11,2/26/2021 19:30:37,506,1,2.891,5,1,1,4,3,3,10,Chrome,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,2,2,2,3,88,2,88,1,1,1,2,2,88,1,3,29,2,1,13,4,3,1,0,1,1,12,5,1,4,9,2,93,0,0,0,0,1,1,6059,88,14, , , , , , , , ,445,4, ,3,4,3, ,3,0,0
